name,style,beer_id,num_files
Omega Point,BARLEYWINE - ENGLISH,973345,16
Vanilla Circle of Wolves,BARLEYWINE - ENGLISH,3036165,16
Sucaba,BARLEYWINE - ENGLISH,23271,16
Sulla Terra (2020 Blend),BARLEYWINE - ENGLISH,3924503,16
Heavier Is the Head That Wears the Crown (Vanilla),BARLEYWINE - ENGLISH,4311695,16
Boss V.S.O.J.,BARLEYWINE - ENGLISH,4407821,16
Bourbon County Brand Coffee Barleywine (2018),BARLEYWINE - ENGLISH,2921116,16
On & On: Part 2,BARLEYWINE - ENGLISH,4506805,16
Leon,BARLEYWINE - ENGLISH,226263,16
Apple Brandy Barrel Aged Dave's with Vanilla,BARLEYWINE - ENGLISH,4209392,16
Bourbon Barrel Dave's Barleywine,BARLEYWINE - ENGLISH,1116119,16
40 Smaragd,BARLEYWINE - ENGLISH,837250,16
Wendigo (Batch 1),BARLEYWINE - OTHER,3873888,16
Gerards Toegift 2021,BARLEYWINE - OTHER,4586122,16
XYAUYU' KENTUCKY - RISERVA 2015,BARLEYWINE - OTHER,2915525,16
Double Barrel King Molokai (Laird's Apple Brandy/Bourbon),BARLEYWINE - OTHER,2940152,16
XYAUYÙ KENTUCKY -RISERVA 2016,BARLEYWINE - OTHER,3486591,16
XYAUYÙ etichetta oro/golden label - RISERVA 2014,BARLEYWINE - OTHER,573390,16
XYAUYÙ BARREL - RISERVA 2014,BARLEYWINE - OTHER,2963304,16
XYAUYÙ etichetta oro/ golden label- RISERVA 2015,BARLEYWINE - OTHER,2997367,16
XYAUYÙ BARREL - RISERVA 2015,BARLEYWINE - OTHER,3486587,16
XYAUYÙ BARREL - RISERVA 2010,BARLEYWINE - OTHER,529853,16
Cellar Cuvee 11,BARLEYWINE - OTHER,1908863,16
XYAUYÙ etichetta oro/ golden label- RISERVA 2013,BARLEYWINE - OTHER,1866921,16
Grand Prestige Vatgerijpt Highland (2020),BARLEYWINE - OTHER,3950337,16
Grand Prestige Vatgerijpt Lowland (2020),BARLEYWINE - OTHER,3948383,16
Memm Rum/Bourbon BA (Silver Series),BARLEYWINE - OTHER,4148880,16
XYAUYÙ BARREL - RISERVA 2016,BARLEYWINE - OTHER,4088379,16
Grand Prestige Vatgerijpt Port Tawny (2021),BARLEYWINE - OTHER,4500194,16
Grand Prestige Vatgerijpt Speyside (2020),BARLEYWINE - OTHER,3950343,16
XYAUYU' FUME - RISERVA 2014,BARLEYWINE - OTHER,2915524,16
Grand Prestige Vatgerijpt Aguardente (2021),BARLEYWINE - OTHER,4500202,16
Iron Furnace,BARLEYWINE - OTHER,2731766,16
XYAUYÙ Etichetta Oro/ Golden Label- RISERVA 2016,BARLEYWINE - OTHER,4096722,16
XYAUYÙ BARREL - RISERVA 2013,BARLEYWINE - OTHER,362392,16
Ахматова,BARLEYWINE - OTHER,2410339,16
Grand Prestige Vatgerijpt Madeira (2021),BARLEYWINE - OTHER,4500201,16
XYAUYÙ KIOKE - RISEVA 2016,BARLEYWINE - OTHER,2885241,16
Binkie Claws BA Woodford Reserve,BARLEYWINE - OTHER,2630033,16
XYAUYÙ FUMÈ - RISERVA 2013,BARLEYWINE - OTHER,134501,16
Tree of Life Blended (Batch 2),BARLEYWINE - OTHER,4072652,16
Grand Prestige Vatgerijpt,BARLEYWINE - OTHER,1866940,16
Mine Is Bigger Than Yours: Port & Bourbon Barrel Aged (2021),BARLEYWINE - OTHER,4412865,16
